TITLE,PERMITS,LATITUDE,LONGITUDE
Lot 128,Student Parking||Accessible Parking||Motorcycle Parking||Metered Parking,39.17796305,-86.50780363
Lot 130,Student Parking Section||Athletics Parking,39.1791,-86.5048
Lot 132,Student Parking||Accessible Parking||Motorcycle Parking,39.17656241,-86.50823344
Lot 133,Student Parking,39.17671824,-86.51050761
Lot 133,Student Parking,39.17698739,-86.51117842
Lot 133,Student Parking,39.17705744,-86.51203248
Lot 134,Student Parking,39.17614982,-86.50980086
Lot 134,Student Parking,39.17577203,-86.51015747
Lot 136,Student Parking||Accessible Parking||Metered Parking,39.17525816,-86.50907961
Lot 136,Student Parking||Accessible Parking||Metered Parking,39.17550085,-86.50914726
Lot 138,Student Parking||Accessible Metered Parking||Motorcycle Parking,39.17522138,-86.51039077
Lot 140,Accessible Parking||Visitor Pay Lot,39.17384091,-86.51056657
Lot 142,Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17298115,-86.51177038
Lot 144,EMS Parking,39.17334082,-86.51481171
Lot 146,EMP Parking||Service Vehicle Parking||Patient Parking,39.17250911,-86.51494331
Lot 148,EMS Parking||Campus Housing Parking - Zone 5||Accessible Parking||Motorcycle Parking,39.17208318,-86.51291399
Lot 150,Campus Housing Parking - Zone 3||Accessible Parking||Accessible Metered Parking,39.17335891,-86.50936124
Lot 150,Campus Housing Parking - Zone 3||Accessible Parking||Accessible Metered Parking,39.17381547,-86.50978219
Lot 152,EMS Parking||Campus Housing Parking - Zone 3||Accessible Parking||Motorcycle Parking||Metered Parking||Service Vehicle Parking||Reserved Parking,39.17273673,-86.50895433
Lot 153,EMP Parking||Accessible Parking,39.17176491,-86.50891787
Lot 154,Visitor Parking,39.17451165,-86.50482346
Lot 154,Visitor Parking,39.17541967,-86.50514562
Lot 156,Campus Housing Parking - Zone 4||Accessible Parking||Motorcycle Parking||Metered Parking,39.17330602,-86.50438934
Lot 158,EMP Parking||EMS Parking||Reserved Parking||Accessible Parking,39.1783,-86.5043
Lot 160,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.1751815,-86.50104766
Lot 162,EMP Parking||EMS Parking||Accessible Parking||Reserved Parking,39.17505492,-86.49960588
Lot 164,EMS Parking||Student Parking||Accessible Parking\,39.17381611,-86.50218347
Lot 166,EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.17264923,-86.50088177
Lot 166,EMP Parking||EMS Parking||Accessible Parking||Accessible Metered Parking||Motorcycle Parking||Metered Parking||Service Vehicle Parking||Electric Veh Parking,39.17269712,-86.50154204
Lot 168,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Metered Parking,39.17262563,-86.49894493
Lot 168,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Metered Parking,39.17229874,-86.49912543
Lot 169,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Metered Parking||Service Vehicle Parking,39.17302995,-86.49928917
Lot 169,Metered Parking||Service Vehicle Parking,39.17259394,-86.49944185
Lot 170,EMS Parking||Student Parking||Accessible Parking||Service Vehicle Parking,39.17310785,-86.49629727
Lot 172,Visitor Parking,39.17403732,-86.49590863
Lot 172,Motor Pool Vehicle Parking,39.17380227,-86.49629469
Lot 174,EMS Parking||Student Parking||Accessible Parking,39.17513354,-86.49764035
Lot 178,EMP Parking||EMS Parking||Student Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17736978,-86.49343919
Lot 178,EMP Parking||Accessible Parking||Service Vehicle Parking,39.17627811,-86.4942885
Lot 200,Campus Housing Parking - Zone 7||Accessible Parking||Service Vehicle Parking,39.17213208,-86.52634458
Lot 201,EMS Parking||Service Vehicle Parking||Accessible Parking,39.17191897,-86.52715704
Lot 202,EMP Parking||EMS Parking||Campus Housing Parking - Zone 7,39.17281429,-86.52612582
Lot 204,EMP Parking||EMS Parking||Accessible Parking,39.17388065,-86.52659733
Lot 207,EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.17457,-86.524887
Lot 208,EMS Parking||Service Vehicle Parking,39.17485071,-86.52258694
Lot 210,EMS Parking,39.17498067,-86.52180075
Lot 212,Service Vehicle Parking,39.17547659,-86.52345115
Lot 214,EMS Parking||Accessible Parking||Visitor Parking,39.17815268,-86.5224005
Lot 214,EMS Parking||Accessible Parking,39.17832674,-86.52254749
Lot 216,CH6 Parking||EMS Parking,39.17838852,-86.52058182
Lot 218,Accessible Metered Parking||Metered Parking,39.17807652,-86.51930389
Lot 222,Accessible Parking||Accessible Metered Parking||Metered Parking,39.17641711,-86.51918574
Lot 226,EMS Parking||Campus Housing Parking - Zone 6||Accessible Parking||Motorcycle Parking||Service Vehicle Parking||Reserved Parking,39.1748869,-86.52006581
Lot 226,EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17437267,-86.52011289
Lot 227,Student Parking||Accessible Parking,39.17856535,-86.51533959
Lot 228,Service Vehicle Parking,39.17661876,-86.51851054
Lot 229,Service Vehicle Parking,39.1766853,-86.51694212
Lot 230,Campus Housing Parking - Zone 6||Accessible Parking||Motorcycle Parking,39.17597039,-86.51684924
Lot 231,Campus Housing Parking - Zone 6||EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17420724,-86.51730451
Lot 232,EMS Parking||Accessible Parking||Accessible Metered Parking||Metered Parking||,39.1750924,-86.51853941
Lot 234,EMP Parking (24 Hr),39.1742768,-86.52391381
Lot 235,EMP Parking||Service Vehicle Parking,39.17412657,-86.52281311
Lot 242,Accessible Parking||Service Vehicle Parking||Reserved Parking,39.17347462,-86.51991016
Lot 249,EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking||Reserved Parking,39.17228236,-86.52287233
Lot 250,EMP Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.17221306,-86.52176994
Lot 256,EMP Parking (24 Hr)||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.17317941,-86.51790652
Lot 257,Reserved Parking,39.17244468,-86.51703882
Lot 258,EMP Parking||EMS Parking||Metered Parking||Service Vehicle Parking,39.17352954,-86.51588525
Lot 258,EMP Parking||EMS Parking||Metered Parking||Service Vehicle Parking,39.17366667,-86.51627312
Lot 259,Reserved Parking||Accessible Parking,39.17260973,-86.51639455
Lot 260,EMP Parking||Accessible Parking||Reserved Parking,39.17253535,-86.51586958
Lot 302,EMS Parking||Accessible Parking,39.17103362,-86.53572535
Lot 310,EMP Parking||EMS Parking||Accessible Parking||Metered Parking,39.17098417,-86.52764697
Lot 312,Visitor Parking||EMP Parking||Accessible Parking||Visitor Parking,39.17007322,-86.52657723
Lot 330,EMP Parking||Reserved Parking,39.16991181,-86.52502853
Lot 342,EMP Parking||Reserved Parking,39.16902041,-86.52541715
Lot 343,EMS Parking||Accessible Parking,39.16892681,-86.52502068
Lot 344,EMP Parking||Accessible Parking,39.16892015,-86.52417696
Lot 346,Reserved Parking,39.16903447,-86.52387171
Lot 350,Visitor Pay Parking||Accessible Pay Parking,39.16899946,-86.52294419
Lot 354,EMP Parking (24 Hr)||EMP Parking||Reserved Parking||Accessible Parking,39.16897724,-86.52240813
Lot 355,Accessible Parking||Service Vehicle Parking,39.16883821,-86.52123011
Lot 356,Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16967219,-86.52033232
Lot 358,Accessible Parking||Service Vehicle Parking,39.1696025,-86.5193646
Lot 364,EMP Parking||Accessible Parking||Motorcycle Parking||Metered Parking||Service Vehicle Parking,39.16952868,-86.51669083
Lot 366,EMP Parking||Accessible Parking,39.16815016,-86.51790642
Lot 368,Accessible Parking,39.16821007,-86.51924433
Lot 402,EMS Parking||Motorcycle Parking||Reserved Parking,39.16779585,-86.52771842
Lot 403,Accessible Parking||Reserved Parking,39.16796149,-86.5272003
Lot 404,EMS Parking||Accessible Parking||Service Vehicle Parking,39.16725839,-86.52758932
Lot 406,Reserved Parking,39.16625104,-86.52780242
Lot 409,EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking||Reserved Parking,39.16473448,-86.52771405
Lot 412,EMS Parking||Accessible Parking||Motorcycle Parking,39.16582902,-86.52768499
Lot 414,EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.1652336,-86.52744702
Lot 418,Accessible Parking,39.16721732,-86.52509611
Lot 420,Reserved Parking,39.16570613,-86.5265649
Lot 422,Accessible Parking||Service Vehicle Parking,39.16486145,-86.52554965
Lot 423,Accessible Parking||Real Estate Office Parking,39.16362689,-86.52749312
Lot 426,EMS Parking||Accessible Parking||Reserved Parking,39.16338755,-86.52486532
Lot 428,EMP Parking||Service Vehicle Parking,39.16362745,-86.52325105
Lot 434,Accessible Parking||Reserved Parking,39.16271822,-86.52331482
Lot 436,EMP Parking,39.16271477,-86.52216614
Lot 438,Reserved Parking,39.16271472,-86.52176681
Lot 438,Reserved Parking,39.16272482,-86.52203376
Lot 440,EMS Parking||Accessible Parking,39.1637762,-86.52186363
Lot 450,Accessible Parking||Reserved Parking,39.16672851,-86.52308223
Lot 451,Service Vehicle Parking||Reserved Parking,39.16594957,-86.52323113
Lot 452,Accessible Parking||Accessible Metered Parking||Service Vehicle Parking||Reserved Parking,39.16700471,-86.52325207
Lot 453,Service Vehicle Parking,39.16806631,-86.52338602
Lot 455,Reserved Parking,39.16805644,-86.52240004
Lot 456,Visitor Pay Parking||Accessible Parking,39.16784741,-86.52158609
Lot 466,EMP Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16457692,-86.51968713
Lot 468,EMP Parking||Accessible Parking||Reserved Parking,39.16403019,-86.51971815
Lot 468,EMP Parking||Accessible Parking||Reserved Parking,39.16379151,-86.52001595
Lot 469,Accessible Parking||EM Retired Parking,39.16356998,-86.52088668
Lot 470,EMP Parking||EMS Parking||Accessible Parking||Accessible Metered Parking||Motorcycle Parking,39.16345772,-86.51964826
Lot 474,EMP Parking,39.16285259,-86.51839535
Lot 475,Service Vehicle Parking,39.16349021,-86.51883338
Lot 476,EMP Parking,39.16347327,-86.51855632
Lot 477,Metered Parking,39.16395293,-86.51721247
Lot 478,EMP Parking||Accessible Parking||Accessible Metered Parking||Service Vehicle Parking||Reserved Parking,39.16479315,-86.51888877
Lot 479,EMS Parking,39.16364414,-86.51671656
Lot 480,Accessible Parking||Reserved Parking||Service Vehicle Parking,39.16557897,-86.51792939
Lot 482,EMP Parking||Accessible Parking||Reserved Parking,39.16563919,-86.51933109
Lot 484,EMP Parking||Accessible Parking,39.16583274,-86.51900872
Lot 488,EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16722661,-86.51717889
Lot 500,Campus Housing Parking  - Zone 5||Accessible Parking||Accessible Metered Parking||Motorcycle Parking,39.17077329,-86.51539921
Lot 504,Service Vehicle Parking,39.17010864,-86.51400932
Lot 508,Campus Housing Parking - Zone 5||Accessible Parking||Accessible Metered Parking||Service Vehicle Parking||Reserved Parking,39.16937319,-86.51241778
Lot 510,Accessible Parking,39.17088746,-86.51087889
Lot 512,Accessible Parking||Accessible Metered Parking,39.17135898,-86.50899096
Lot 513,Accessible Parking||Reserved Parking,39.17069119,-86.5081628
Lot 514,EMP Parking||EMS Parking||Campus Housing Parking - Zone 5||Motorcycle Parking,39.17039859,-86.50749764
Lot 515,EMP Parking||EMS Parking||Campus Housing Parking - Zone 5||Accessible Parking,39.16992166,-86.50852915
Lot 517,EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking||Visitor Parking,39.16922868,-86.50803648
Lot 518,EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16849579,-86.5087267
Lot 520,Campus Housing Parking - Zone 1||Accessible Parking||Reserved Parking,39.16823502,-86.51105307
Lot 520,Campus Housing Parking - Zone 1||Campus Housing Parking - Zone 5||Accessible Parking||EMP Parking||Reserved Parking,39.1687883,-86.5143488
Lot 522,EMP Parking||Accessible Parking||Reserved Parking,39.1687092,-86.5154284
Lot 524,EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.16838049,-86.51561134
Lot 525,EMS Parking,39.16802738,-86.51565563
Lot 529,Electric Veh Parking||Visitor Pay Parking (Upper Level Only)||EMS Parking (Upper Level only),39.16741081,-86.51495738
Lot 530,EMP Parking (24 Hr)||Reserved Parking,39.16677318,-86.51561038
Lot 532,EMP Parking||EMS Parking||Accessible Parking,39.16649995,-86.51490483
Lot 534,Campus Housing Parking - Zone 1||Accessible Parking||Reserved Parking,39.16641544,-86.51609502
Lot 536,EMS Parking,39.16586213,-86.51609562
Lot 538,EMS Parking||Accessible Parking||Metered Parking||Service Vehicle Parking,39.16558658,-86.51451245
Lot 538,EMS Parking||Accessible Parking||Metered Parking||Service Vehicle Parking,39.16558934,-86.51521929
Lot 540,EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking,39.16541657,-86.51466847
Lot 540,EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking,39.16545341,-86.5156802
Lot 544,EMP Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.16520076,-86.51586799
Lot 547,EMP Parking||EMS Parking||Accessible Parking||Reserved Parking,39.16345466,-86.51478977
Lot 548,Campus Housing Parking - Zone 2||Accessible Parking,39.16479647,-86.51387869
Lot 550,EMS Parking||Campus Housing Parking - Zone 1& 2||Accessible Parking,39.16479659,-86.51360402
Lot 552,Accessible Parking||Metered Parking,39.16453872,-86.51245601
Lot 554,EMP Parking||EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking||Motorcycle Parking,39.16479553,-86.51132253
Lot 556,Accessible Parking||Metered Parking,39.16687206,-86.51167885
Lot 562,EMP Parking||EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking||Accessible Metered Parking||Motorcycle Parking,39.16601986,-86.50972642
Lot 566,EMS Parking||Motorcycle Parking,39.16734333,-86.50805204
Lot 569,EMS Parking||Accessible Parking||Service Vehicle Parking,39.171269,-86.50652
Lot 640,Reserved Parking,39.1620453,-86.53072949
Lot 650,EMS Parking||EMP Parking||Accessible Parking||Student Parking,39.16128757,-86.5038675
Lots 316 / 318 / 320 / 322 / 324 / 326,EMS Parking||EMP Parking||Accessible Parking,39.17099979,-86.52514019
Lot 400,EMP Parking||Visitor Pay Parking||Accessible Parking,39.167808,-86.528847
